ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Método_Pago,Estado,Nombre_producto,Categoría,Precio_Unitario,Importe_Ventas,Venta_Completa,Clientes,Full_Name,Registro
2889,4/2/2024,48,24,2,3,Pendiente,Empanadas,Congelados,"13,54","27,08",0,Patagonia,Corbie Von Der Empten,18/10/2023
2896,4/2/2024,106,21,1,2,Completa,Zanahorias,Frutas y Verduras,"3,25","3,25","3,25",NEA,Benedikta Condon,23/6/2023
277,5/2/2024,159,4,6,4,Completa,Queso rallado,Lácteos,"19,23","115,38","115,38",NEA,Cyril Pischel,11/4/2023
497,5/2/2024,169,5,6,3,Completa,Manteca,Lácteos,"5,65","33,9","33,9",Centro,Carlyle Mcwhirter,19/3/2023
503,5/2/2024,169,5,5,1,Completa,Manteca,Lácteos,"5,65","28,25","28,25",Centro,Carlyle Mcwhirter,19/3/2023
1198,5/2/2024,102,13,2,1,Completa,Pan integral,Panadería,"12,56","25,12","25,12",Patagonia,Seana Radbone,14/5/2023
1449,5/2/2024,172,29,6,2,Completa,Cerveza,Bebidas,"11,54","69,24","69,24",Buenos Aires,Eulalie Vedeshkin,19/3/2023
1759,5/2/2024,255,23,5,5,Pendiente,Papas fritas,Congelados,"8,23","41,15",0,Buenos Aires,Merry Zoren,12/12/2023
2873,5/2/2024,230,13,2,2,Completa,Pan integral,Panadería,"12,56","25,12","25,12",Centro,Alvira Gimber,28/12/2023
484,6/2/2024,168,35,1,2,Completa,Arroz,Conservas,"4,25","4,25","4,25",Centro,Josephina Humbee,26/7/2023
593,6/2/2024,258,11,4,5,Completa,Salchicha,Carnicería,"11,23","44,92","44,92",Centro,Izabel Starten,28/5/2023
809,6/2/2024,159,19,6,5,Pendiente,Tomates,Frutas y Verduras,"6,54","39,24",0,NEA,Cyril Pischel,11/4/2023
1656,6/2/2024,283,1,3,4,Completa,Leche,Lácteos,"12,24","36,72","36,72",Buenos Aires,Lincoln Kennermann,3/5/2023
1735,6/2/2024,130,8,6,5,Completa,Milanesa,Carnicería,"16,21","97,26","97,26",Buenos Aires,Lori Oram,8/9/2023
2126,6/2/2024,181,3,3,4,Pendiente,Queso cremoso,Lácteos,"17,23","51,69",0,Patagonia,Isaak Seyers,16/8/2023
2540,6/2/2024,75,28,6,1,Pendiente,Jugos de frutas,Bebidas,"9,45","56,7",0,NEA,Roma Battill,26/12/2023
2680,6/2/2024,155,18,2,4,Completa,Bananas,Frutas y Verduras,"7,25","14,5","14,5",Cuyo,Sadie Linwood,18/12/2023
116,7/2/2024,71,35,4,3,Completa,Arroz,Conservas,"4,25",17,17,Buenos Aires,Colly Blucher,2/5/2023
215,7/2/2024,64,31,2,4,Pendiente,Galletitas de agua,Galletitas y Snacks,"5,24","10,48",0,NEA,Randolph Collicott,18/10/2023
441,7/2/2024,21,7,6,3,Completa,Chorizo,Carnicería,"11,25","67,5","67,5",Buenos Aires,Kleon Mitrovic,25/5/2023
471,7/2/2024,108,12,6,5,Pendiente,Pan francés,Panadería,"8,12","48,72",0,Patagonia,Riley Obey,4/6/2023
1136,7/2/2024,187,23,3,3,Completa,Papas fritas,Congelados,"8,23","24,69","24,69",Buenos Aires,Gay Elvin,27/11/2023
1753,7/2/2024,35,17,2,4,Pendiente,Manzanas,Frutas y Verduras,"6,54","13,08",0,NOA,Matthew Rudderham,23/4/2023
2127,7/2/2024,180,6,3,3,Completa,Asado,Carnicería,"28,56","85,68","85,68",Buenos Aires,Audra Bleakley,3/5/2023
2209,7/2/2024,151,3,2,1,Completa,Queso cremoso,Lácteos,"17,23","34,46","34,46",Buenos Aires,Lance Dungey,25/8/2023
2935,7/2/2024,164,25,3,4,Completa,Pizza congelada,Congelados,"15,45","46,35","46,35",Centro,Tybie Kemster,11/12/2023
734,8/2/2024,212,36,5,2,Completa,Lentejas,Conservas,"3,25","16,25","16,25",Buenos Aires,Justin Featherstonehaugh,13/10/2023
2043,8/2/2024,318,27,2,5,Completa,Agua mineral,Bebidas,"6,21","12,42","12,42",Buenos Aires,Gustave Chatainier,31/3/2023
2335,8/2/2024,56,38,2,5,Completa,Atún enlatado,Conservas,"6,21","12,42","12,42",Centro,Vevay Wellum,27/6/2023
2770,8/2/2024,295,34,4,2,Completa,Maníes,Galletitas y Snacks,"5,45","21,8","21,8",Cuyo,Denise Domsalla,2/10/2023
226,9/2/2024,3,11,4,1,Completa,Salchicha,Carnicería,"11,23","44,92","44,92",Patagonia,Buddy Silverson,27/3/2023
1044,9/2/2024,69,29,1,5,Completa,Cerveza,Bebidas,"11,54","11,54","11,54",Cuyo,Ham Rapley,19/5/2023
1162,9/2/2024,104,17,2,3,Completa,Manzanas,Frutas y Verduras,"6,54","13,08","13,08",Buenos Aires,Serena Wison,10/5/2023
1725,9/2/2024,293,25,6,4,Completa,Pizza congelada,Congelados,"15,45","92,7","92,7",Patagonia,Sebastian Portman,9/7/2023
1878,9/2/2024,214,17,3,4,Completa,Manzanas,Frutas y Verduras,"6,54","19,62","19,62",Patagonia,Pippy Pirot,4/5/2023
2480,9/2/2024,278,22,1,1,Completa,Cebolla,Frutas y Verduras,"4,21","4,21","4,21",Centro,Rouvin Ohrt,21/8/2023
2610,9/2/2024,78,1,6,4,Completa,Leche,Lácteos,"12,24","73,44","73,44",Buenos Aires,Gabbi Harnell,25/9/2023
2947,9/2/2024,28,6,5,4,Pendiente,Asado,Carnicería,"28,56","142,8",0,NEA,Theodoric Bunny,25/11/2023
117,10/2/2024,288,10,3,2,Pendiente,Costilla de cerdo,Carnicería,"14,25","42,75",0,Buenos Aires,Leoline Hessel,26/10/2023
1102,10/2/2024,59,29,4,3,Completa,Cerveza,Bebidas,"11,54","46,16","46,16",Centro,Morse Peters,24/4/2023
1217,10/2/2024,144,22,2,4,Completa,Cebolla,Frutas y Verduras,"4,21","8,42","8,42",NEA,Maribeth Hearon,16/6/2023
1363,10/2/2024,314,28,3,3,Pendiente,Jugos de frutas,Bebidas,"9,45","28,35",0,Patagonia,Abelard Bassett,10/4/2023
1600,10/2/2024,230,24,6,3,Completa,Empanadas,Congelados,"13,54","81,24","81,24",Centro,Alvira Gimber,28/12/2023
2719,10/2/2024,57,16,1,4,Completa,Tortas,Panadería,"15,23","15,23","15,23",Centro,Olenolin Wakeman,15/12/2023
621,11/2/2024,166,3,3,3,Completa,Queso cremoso,Lácteos,"17,23","51,69","51,69",NEA,Minta Sickling,27/8/2023
995,11/2/2024,224,13,5,5,Completa,Pan integral,Panadería,"12,56","62,8","62,8",Cuyo,Katey Gritland,25/9/2023
1218,11/2/2024,34,29,1,2,Completa,Cerveza,Bebidas,"11,54","11,54","11,54",Cuyo,Karolina Husselbee,5/12/2023
1362,11/2/2024,120,19,2,5,Pendiente,Tomates,Frutas y Verduras,"6,54","13,08",0,Buenos Aires,Baxter Ritmeier,15/9/2023
1651,11/2/2024,85,13,6,4,Completa,Pan integral,Panadería,"12,56","75,36","75,36",Cuyo,Curran Macari,2/4/2023
1680,11/2/2024,241,28,3,3,Completa,Jugos de frutas,Bebidas,"9,45","28,35","28,35",Buenos Aires,Jeremiah Cosgrave,11/6/2023
1754,11/2/2024,212,27,3,5,Completa,Agua mineral,Bebidas,"6,21","18,63","18,63",Buenos Aires,Justin Featherstonehaugh,13/10/2023
1934,11/2/2024,69,27,1,2,Completa,Agua mineral,Bebidas,"6,21","6,21","6,21",Cuyo,Ham Rapley,19/5/2023
2534,11/2/2024,250,11,1,5,Completa,Salchicha,Carnicería,"11,23","11,23","11,23",Centro,Stacy Scading,22/8/2023
2642,11/2/2024,54,37,5,4,Completa,Garbanzos,Conservas,"3,65","18,25","18,25",Buenos Aires,Byram Ferenczi,18/8/2023
2703,11/2/2024,255,29,3,1,Pendiente,Cerveza,Bebidas,"11,54","34,62",0,Buenos Aires,Merry Zoren,12/12/2023
2874,11/2/2024,87,19,4,5,Completa,Tomates,Frutas y Verduras,"6,54","26,16","26,16",Patagonia,Aeriel Garahan,22/8/2023
2933,11/2/2024,307,37,4,5,Completa,Garbanzos,Conservas,"3,65","14,6","14,6",Cuyo,Shelba Elcombe,1/4/2023
29,12/2/2024,205,38,2,3,Completa,Atún enlatado,Conservas,"6,21","12,42","12,42",Patagonia,Brenda Utterson,29/4/2023
237,12/2/2024,182,21,4,1,Completa,Zanahorias,Frutas y Verduras,"3,25",13,13,Centro,Bel Geeritz,1/9/2023
488,12/2/2024,47,14,2,5,Completa,Facturas,Panadería,"12,36","24,72","24,72",Buenos Aires,Betteanne Pratley,28/9/2023
1168,12/2/2024,286,4,4,5,Completa,Queso rallado,Lácteos,"19,23","76,92","76,92",Centro,Mikael Freckingham,7/10/2023
1540,12/2/2024,273,14,6,3,Completa,Facturas,Panadería,"12,36","74,16","74,16",Cuyo,Miller Cazereau,16/7/2023
2007,12/2/2024,288,14,2,4,Completa,Facturas,Panadería,"12,36","24,72","24,72",Buenos Aires,Leoline Hessel,26/10/2023
2236,12/2/2024,295,18,4,5,Completa,Bananas,Frutas y Verduras,"7,25",29,29,Cuyo,Denise Domsalla,2/10/2023
8,13/2/2024,214,38,4,4,Completa,Atún enlatado,Conservas,"6,21","24,84","24,84",Patagonia,Pippy Pirot,4/5/2023
14,13/2/2024,171,22,4,3,Completa,Cebolla,Frutas y Verduras,"4,21","16,84","16,84",Cuyo,Vladimir Orrill,3/4/2023
459,13/2/2024,128,24,4,3,Completa,Empanadas,Congelados,"13,54","54,16","54,16",Buenos Aires,Becka Grinval,2/12/2023
681,13/2/2024,14,29,3,3,Completa,Cerveza,Bebidas,"11,54","34,62","34,62",Buenos Aires,Fedora Brackenbury,1/5/2023
821,13/2/2024,43,1,3,5,Pendiente,Leche,Lácteos,"12,24","36,72",0,Patagonia,Brenda Buckel,27/9/2023
908,13/2/2024,141,11,4,4,Pendiente,Salchicha,Carnicería,"11,23","44,92",0,NEA,Adena Skirvane,22/3/2023
1826,13/2/2024,300,20,1,1,Completa,Lechugas,Frutas y Verduras,"4,25","4,25","4,25",NEA,Marilin Lodin,25/8/2023
2355,13/2/2024,150,35,2,5,Completa,Arroz,Conservas,"4,25","8,5","8,5",Buenos Aires,Eben Riche,3/6/2023
2555,13/2/2024,130,33,3,5,Completa,Papas chips,Galletitas y Snacks,"8,54","25,62","25,62",Buenos Aires,Lori Oram,8/9/2023
2572,13/2/2024,258,26,4,1,Completa,Hamburgesas congeladas,Congelados,"9,54","38,16","38,16",Centro,Izabel Starten,28/5/2023
2687,13/2/2024,73,29,4,5,Completa,Cerveza,Bebidas,"11,54","46,16","46,16",Centro,Akim Cruz,20/3/2023
2709,13/2/2024,304,12,2,1,Pendiente,Pan francés,Panadería,"8,12","16,24",0,Cuyo,Arch Jurasz,30/4/2023
1271,14/2/2024,190,27,5,3,Completa,Agua mineral,Bebidas,"6,21","31,05","31,05",NEA,Derwin Fuzzard,21/3/2023
1975,14/2/2024,118,4,6,5,Completa,Queso rallado,Lácteos,"19,23","115,38","115,38",Centro,Dallon Hedworth,30/7/2023
2076,14/2/2024,5,1,1,4,Completa,Leche,Lácteos,"12,24","12,24","12,24",Centro,Conney Cassella,31/3/2023
2559,14/2/2024,87,15,6,1,Pendiente,Medialunas,Panadería,"3,51","21,06",0,Patagonia,Aeriel Garahan,22/8/2023
2763,14/2/2024,273,21,5,5,Completa,Zanahorias,Frutas y Verduras,"3,25","16,25","16,25",Cuyo,Miller Cazereau,16/7/2023
2801,14/2/2024,105,17,5,3,Completa,Manzanas,Frutas y Verduras,"6,54","32,7","32,7",Buenos Aires,Yelena Gaytor,4/6/2023
34,15/2/2024,325,35,5,2,Completa,Arroz,Conservas,"4,25","21,25","21,25",NEA,Rowland Riddington,16/6/2023
294,15/2/2024,85,24,3,2,Completa,Empanadas,Congelados,"13,54","40,62","40,62",Cuyo,Curran Macari,2/4/2023
627,15/2/2024,312,24,6,5,Completa,Empanadas,Congelados,"13,54","81,24","81,24",Cuyo,Gabie Late,3/8/2023
696,15/2/2024,76,13,3,1,Completa,Pan integral,Panadería,"12,56","37,68","37,68",Centro,Marlowe Bidgod,12/7/2023
938,15/2/2024,204,1,1,4,Completa,Leche,Lácteos,"12,24","12,24","12,24",Patagonia,Di Kasper,6/6/2023
1700,15/2/2024,158,33,4,4,Completa,Papas chips,Galletitas y Snacks,"8,54","34,16","34,16",Buenos Aires,Art Van Der Velde,2/5/2023
1928,15/2/2024,310,35,1,1,Completa,Arroz,Conservas,"4,25","4,25","4,25",Patagonia,Kenyon Grain,9/11/2023
2214,15/2/2024,187,7,5,5,Completa,Chorizo,Carnicería,"11,25","56,25","56,25",Buenos Aires,Gay Elvin,27/11/2023
2238,15/2/2024,231,12,3,4,Completa,Pan francés,Panadería,"8,12","24,36","24,36",Patagonia,Rani Chattelaine,13/12/2023
2481,15/2/2024,166,4,2,5,Pendiente,Queso rallado,Lácteos,"19,23","38,46",0,NEA,Minta Sickling,27/8/2023
2604,15/2/2024,319,23,1,5,Completa,Papas fritas,Congelados,"8,23","8,23","8,23",Patagonia,Byrle Crinidge,10/5/2023
481,16/2/2024,109,19,3,3,Completa,Tomates,Frutas y Verduras,"6,54","19,62","19,62",Cuyo,Andie Arundale,28/8/2023
641,16/2/2024,184,17,5,5,Completa,Manzanas,Frutas y Verduras,"6,54","32,7","32,7",Buenos Aires,Winne Coaker,23/11/2023
735,16/2/2024,183,20,2,1,Completa,Lechugas,Frutas y Verduras,"4,25","8,5","8,5",Patagonia,Bren Szreter,25/5/2023
779,16/2/2024,252,14,2,3,Completa,Facturas,Panadería,"12,36","24,72","24,72",Patagonia,Emmalynne Chew,1/11/2023
1174,16/2/2024,286,14,1,1,Completa,Facturas,Panadería,"12,36","12,36","12,36",Centro,Mikael Freckingham,7/10/2023
1253,16/2/2024,50,13,1,2,Completa,Pan integral,Panadería,"12,56","12,56","12,56",Buenos Aires,Nickolaus Coppins,21/9/2023
1263,16/2/2024,48,38,5,3,Completa,Atún enlatado,Conservas,"6,21","31,05","31,05",Patagonia,Corbie Von Der Empten,18/10/2023
1479,16/2/2024,211,33,1,1,Completa,Papas chips,Galletitas y Snacks,"8,54","8,54","8,54",Centro,Lilli Hayers,8/9/2023
2323,16/2/2024,98,25,3,3,Completa,Pizza congelada,Congelados,"15,45","46,35","46,35",Centro,Lin Godard,20/11/2023
2362,16/2/2024,109,36,6,1,Completa,Lentejas,Conservas,"3,25","19,5","19,5",Cuyo,Andie Arundale,28/8/2023
2771,16/2/2024,39,7,2,3,Completa,Chorizo,Carnicería,"11,25","22,5","22,5",Patagonia,Filippo Culkin,12/10/2023
2937,16/2/2024,124,3,3,2,Completa,Queso cremoso,Lácteos,"17,23","51,69","51,69",NEA,Rustie Astlet,3/9/2023
207,17/2/2024,203,20,2,5,Completa,Lechugas,Frutas y Verduras,"4,25","8,5","8,5",Buenos Aires,Rafaellle Jayes,2/10/2023
297,17/2/2024,302,3,4,5,Pendiente,Queso cremoso,Lácteos,"17,23","68,92",0,Patagonia,Ferris Duggan,24/7/2023
386,17/2/2024,250,32,6,5,Pendiente,Galletitas de chocolate,Galletitas y Snacks,"6,25","37,5",0,Centro,Stacy Scading,22/8/2023
572,17/2/2024,95,18,5,1,Completa,Bananas,Frutas y Verduras,"7,25","36,25","36,25",Buenos Aires,Anne-Marie Kildahl,26/5/2023
812,17/2/2024,280,7,4,3,Completa,Chorizo,Carnicería,"11,25",45,45,Centro,Keriann Doore,11/12/2023
1079,17/2/2024,8,31,6,3,Completa,Galletitas de agua,Galletitas y Snacks,"5,24","31,44","31,44",Buenos Aires,Joellen Grey,13/5/2023
1095,17/2/2024,326,2,5,5,Pendiente,Yogur,Lácteos,"5,21","26,05",0,Cuyo,Friedrick Paulucci,21/6/2023
1842,17/2/2024,224,29,2,1,Completa,Cerveza,Bebidas,"11,54","23,08","23,08",Cuyo,Katey Gritland,25/9/2023
1863,17/2/2024,46,26,5,4,Completa,Hamburgesas congeladas,Congelados,"9,54","47,7","47,7",Centro,Slade Stockle,10/8/2023
2045,17/2/2024,97,8,3,4,Completa,Milanesa,Carnicería,"16,21","48,63","48,63",Buenos Aires,Judah Dan,4/4/2023
2375,17/2/2024,82,38,1,3,Completa,Atún enlatado,Conservas,"6,21","6,21","6,21",Buenos Aires,Adham Leebeter,6/11/2023
2634,17/2/2024,31,15,6,5,Completa,Medialunas,Panadería,"3,51","21,06","21,06",Centro,Marni Ruthven,28/3/2023
77,18/2/2024,320,27,2,3,Completa,Agua mineral,Bebidas,"6,21","12,42","12,42",Centro,Aubert Caddie,8/11/2023
131,18/2/2024,17,23,5,4,Completa,Papas fritas,Congelados,"8,23","41,15","41,15",Buenos Aires,Marianna Kyle,25/7/2023
166,18/2/2024,25,13,5,5,Completa,Pan integral,Panadería,"12,56","62,8","62,8",Patagonia,Queenie Moyer,18/6/2023
223,18/2/2024,221,29,1,5,Completa,Cerveza,Bebidas,"11,54","11,54","11,54",Buenos Aires,Hildagarde Mouton,9/6/2023
236,18/2/2024,44,21,4,5,Pendiente,Zanahorias,Frutas y Verduras,"3,25",13,0,Buenos Aires,Cyrill Runge,17/9/2023
434,18/2/2024,90,23,1,5,Completa,Papas fritas,Congelados,"8,23","8,23","8,23",Buenos Aires,Pinchas Stollsteiner,9/8/2023
539,18/2/2024,274,14,2,5,Completa,Facturas,Panadería,"12,36","24,72","24,72",Buenos Aires,Darby Gerasch,8/7/2023
801,18/2/2024,37,27,3,1,Completa,Agua mineral,Bebidas,"6,21","18,63","18,63",Cuyo,Frederik Gook,4/11/2023
1007,18/2/2024,77,11,6,5,Completa,Salchicha,Carnicería,"11,23","67,38","67,38",Buenos Aires,Mickie Dellar,29/10/2023
1181,18/2/2024,171,17,4,4,Completa,Manzanas,Frutas y Verduras,"6,54","26,16","26,16",Cuyo,Vladimir Orrill,3/4/2023
1625,18/2/2024,145,38,4,3,Completa,Atún enlatado,Conservas,"6,21","24,84","24,84",Buenos Aires,Eugenius Bowness,8/4/2023
1983,18/2/2024,63,27,4,5,Completa,Agua mineral,Bebidas,"6,21","24,84","24,84",Buenos Aires,Yule Bruin,30/11/2023
2409,18/2/2024,252,15,4,5,Completa,Medialunas,Panadería,"3,51","14,04","14,04",Patagonia,Emmalynne Chew,1/11/2023
2964,18/2/2024,269,7,2,1,Completa,Chorizo,Carnicería,"11,25","22,5","22,5",Centro,Merill Gogin,15/9/2023
53,19/2/2024,66,30,2,5,Completa,Vino tinto,Bebidas,"13,54","27,08","27,08",Buenos Aires,Regan Crocetti,24/3/2023
447,19/2/2024,249,27,5,1,Completa,Agua mineral,Bebidas,"6,21","31,05","31,05",Buenos Aires,Dilly Gaveltone,2/8/2023
454,19/2/2024,131,13,5,4,Completa,Pan integral,Panadería,"12,56","62,8","62,8",Buenos Aires,Corby Lothlorien,8/7/2023
1332,19/2/2024,1,29,4,4,Completa,Cerveza,Bebidas,"11,54","46,16","46,16",Patagonia,Karisa Cromett,19/11/2023
1722,19/2/2024,266,7,3,4,Completa,Chorizo,Carnicería,"11,25","33,75","33,75",Buenos Aires,Tabbie Hintzer,28/10/2023
2134,19/2/2024,116,29,5,2,Completa,Cerveza,Bebidas,"11,54","57,7","57,7",Buenos Aires,Hedda Garbott,14/7/2023
2310,19/2/2024,139,11,2,5,Completa,Salchicha,Carnicería,"11,23","22,46","22,46",Buenos Aires,Pamella Asker,9/5/2023
2926,19/2/2024,210,37,2,1,Completa,Garbanzos,Conservas,"3,65","7,3","7,3",Centro,Hendrika Smylie,16/12/2023
2969,19/2/2024,128,9,1,5,Completa,Pollo,Carnicería,"18,56","18,56","18,56",Buenos Aires,Becka Grinval,2/12/2023
11,20/2/2024,237,25,6,1,Completa,Pizza congelada,Congelados,"15,45","92,7","92,7",Buenos Aires,Nikki Dalgetty,10/5/2023
110,20/2/2024,31,11,2,3,Completa,Salchicha,Carnicería,"11,23","22,46","22,46",Centro,Marni Ruthven,28/3/2023
979,20/2/2024,30,29,5,1,Completa,Cerveza,Bebidas,"11,54","57,7","57,7",Buenos Aires,Martainn Burton,15/6/2023
1633,20/2/2024,27,11,5,4,Completa,Salchicha,Carnicería,"11,23","56,15","56,15",Buenos Aires,Bealle Andreuzzi,29/11/2023
2176,20/2/2024,48,12,5,1,Completa,Pan francés,Panadería,"8,12","40,6","40,6",Patagonia,Corbie Von Der Empten,18/10/2023
2227,20/2/2024,239,8,4,5,Completa,Milanesa,Carnicería,"16,21","64,84","64,84",Buenos Aires,Herbie Puttick,1/4/2023
2325,20/2/2024,13,2,4,4,Completa,Yogur,Lácteos,"5,21","20,84","20,84",Centro,Kameko Moland,23/10/2023
2427,20/2/2024,57,35,2,1,Completa,Arroz,Conservas,"4,25","8,5","8,5",Centro,Olenolin Wakeman,15/12/2023
2929,20/2/2024,28,11,1,3,Completa,Salchicha,Carnicería,"11,23","11,23","11,23",NEA,Theodoric Bunny,25/11/2023
168,21/2/2024,186,2,1,4,Completa,Yogur,Lácteos,"5,21","5,21","5,21",Patagonia,Gabie Pawel,5/12/2023
691,21/2/2024,175,14,1,1,Completa,Facturas,Panadería,"12,36","12,36","12,36",Buenos Aires,Caron Raddon,14/9/2023
851,21/2/2024,13,14,2,4,Completa,Facturas,Panadería,"12,36","24,72","24,72",Centro,Kameko Moland,23/10/2023
986,21/2/2024,273,7,4,1,Completa,Chorizo,Carnicería,"11,25",45,45,Cuyo,Miller Cazereau,16/7/2023
1041,21/2/2024,312,9,3,3,Completa,Pollo,Carnicería,"18,56","55,68","55,68",Cuyo,Gabie Late,3/8/2023
2560,21/2/2024,249,33,3,5,Completa,Papas chips,Galletitas y Snacks,"8,54","25,62","25,62",Buenos Aires,Dilly Gaveltone,2/8/2023
2751,21/2/2024,19,2,5,4,Completa,Yogur,Lácteos,"5,21","26,05","26,05",Centro,Victoria Filyukov,13/11/2023
2905,21/2/2024,226,5,4,4,Completa,Manteca,Lácteos,"5,65","22,6","22,6",Patagonia,Jerry Beiderbecke,26/11/2023
338,22/2/2024,103,12,2,3,Completa,Pan francés,Panadería,"8,12","16,24","16,24",Patagonia,Adina Cleugh,16/9/2023
407,22/2/2024,32,5,3,3,Completa,Manteca,Lácteos,"5,65","16,95","16,95",Cuyo,Cristen Ottee,27/7/2023
1184,22/2/2024,106,38,6,5,Completa,Atún enlatado,Conservas,"6,21","37,26","37,26",NEA,Benedikta Condon,23/6/2023
1200,22/2/2024,143,32,1,5,Pendiente,Galletitas de chocolate,Galletitas y Snacks,"6,25","6,25",0,Buenos Aires,Gabriell Ralton,14/11/2023
1792,22/2/2024,81,9,4,1,Completa,Pollo,Carnicería,"18,56","74,24","74,24",Buenos Aires,Cthrine Waltho,8/5/2023
2027,22/2/2024,184,32,4,1,Completa,Galletitas de chocolate,Galletitas y Snacks,"6,25",25,25,Buenos Aires,Winne Coaker,23/11/2023
